#"Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Density (g/mL)"
12700,-295352.8605877375,62449.35838822508,-232903.50219951244,310.49058528879306,0.9957489333630352
12800,-295697.98173744837,62987.93512278807,-232710.0466146603,313.16832305669493,0.9957489333630352
12900,-295665.22232291754,62822.28460829472,-232842.93771462282,312.3447289233703,0.9957489333630352
13000,-296004.9821314486,62767.923658917134,-233237.05847253144,312.0744529201458,0.9957489333630352
13100,-296316.8611966972,63152.82862096466,-233164.03257573256,313.98815339731885,0.9957489333630352
13200,-295988.63452459686,62849.685871484224,-233138.94865311263,312.48096465845134,0.9957489333630352
13300,-296294.1166658364,62739.77722298936,-233554.33944284706,311.93451227719027,0.9957489333630352
13400,-296123.8277141666,61992.252763708704,-234131.5749504579,308.2179119330064,0.9957489333630352
13500,-295924.08065799344,61850.500099138415,-234073.58055885503,307.51313499174364,0.9957489333630352
13600,-296720.37327128556,62481.737602200825,-234238.63566908473,310.6515707874113,0.9957489333630352
13700,-295896.6795076886,62104.91247539839,-233791.76703229023,308.7780422645871,0.9957489333630352
13800,-295676.0402026409,61829.462764654774,-233846.57743798615,307.40853993319826,0.9957489333630352
13900,-295627.26702367887,61882.44394723594,-233744.82307644293,307.67195590437046,0.9957489333630352
14000,-295597.5915030502,62107.88613122329,-233489.7053718269,308.79282691828655,0.9957489333630352
14100,-296031.26199534815,62086.34564162174,-233944.9163537264,308.68573023392645,0.9957489333630352
14200,-296078.925482593,61953.361867582425,-234125.5636150106,308.0245511457652,0.9957489333630352
14300,-296272.92188227223,61860.59127446165,-234412.33060781058,307.5633070833909,0.9957489333630352
14400,-296531.1562488945,62147.86251747422,-234383.2937314203,308.9915846298969,0.9957489333630352
14500,-295925.6394124348,61377.79473949893,-234547.84467293584,305.16290165754043,0.9957489333630352
14600,-296614.91845188895,61796.746590798255,-234818.1718610907,307.2458791111931,0.9957489333630352
14700,-296070.1645007038,61449.43859065301,-234620.7259100508,305.51910613827954,0.9957489333630352
14800,-296881.7767994744,62327.676950636785,-234554.0998488376,309.8856000375323,0.9957489333630352
14900,-296987.07670488465,62146.07506778161,-234841.00163710304,308.98269764826006,0.9957489333630352
15000,-296468.44217327563,62041.010648357566,-234427.43152491807,308.4603301824935,0.9957489333630352
15100,-296273.7541448851,61972.84886412084,-234300.90528076427,308.1214381133321,0.9957489333630352
15200,-296663.72145582596,62454.077844956424,-234209.64361086953,310.51404985144956,0.9957489333630352
15300,-296661.3448785406,62100.31787468487,-234561.02700385574,308.7551984708072,0.9957489333630352
15400,-297159.76491957274,62469.715617388254,-234690.0493021845,310.5917989467211,0.9957489333630352
15500,-297183.77970782574,62355.808927512844,-234827.9707803129,310.0254687918481,0.9957489333630352
15600,-296787.7875983473,62512.15545406233,-234275.63214428496,310.8028046330658,0.9957489333630352
15700,-296788.6444423557,62390.70628966892,-234397.9381526868,310.19897421577116,0.9957489333630352
15800,-296726.8980295211,62199.46391441475,-234527.43411510636,309.24814047532584,0.9957489333630352
15900,-296184.9069530042,61676.94564150588,-234507.9613114983,306.65024341814564,0.9957489333630352
16000,-296660.59140573535,62001.970135805546,-234658.6212699298,308.2662255206507,0.9957489333630352
16100,-296530.216839849,61760.6795360652,-234769.5373037838,307.0665581185883,0.9957489333630352
16200,-296976.46587234363,62595.865603179016,-234380.6002691646,311.2190012740669,0.9957489333630352
16300,-296624.8785675941,62496.58609053446,-234128.29247705964,310.7253956585125,0.9957489333630352
16400,-296004.19102505874,61922.71746443628,-234081.47356062246,307.8721909147838,0.9957489333630352
16500,-296360.3331526893,62328.48230078595,-234031.85085190332,309.8896041401465,0.9957489333630352
16600,-296216.4950309796,62488.49412051716,-233728.00091046246,310.6851633715579,0.9957489333630352
16700,-296401.90102428757,62828.31443025824,-233573.58659402933,312.374708461975,0.9957489333630352
16800,-296652.4434548784,62736.75438261172,-233915.6890722667,311.9194830838997,0.9957489333630352
16900,-296115.12517861,62225.5691751673,-233889.55600344267,309.37793264452296,0.9957489333630352
17000,-295693.4202009537,61644.51851895754,-234048.90168199618,306.4890197239537,0.9957489333630352
17100,-297003.56284895865,63172.93896614155,-233830.6238828171,314.08813957820985,0.9957489333630352
17200,-296185.8375671571,62174.19407560141,-234011.6434915557,309.12250192201145,0.9957489333630352
17300,-296747.0751508707,62541.48615526897,-234205.58899560175,310.94863329839757,0.9957489333630352
17400,-296190.9187789159,61838.82046409359,-234352.0983148223,307.4550652723002,0.9957489333630352
17500,-296707.17906153994,62478.911804519594,-234228.26725702034,310.63752126634984,0.9957489333630352
17600,-296524.9775674073,62410.750606035814,-234114.2269613715,310.29863210948054,0.9957489333630352
17700,-296642.011001735,62185.84549971367,-234456.16550202132,309.1804313801426,0.9957489333630352
17800,-296146.21420368925,61765.91959210549,-234380.29461158375,307.0926110374475,0.9957489333630352
17900,-296452.20571649866,62356.905217938474,-234095.3004985602,310.0309194139951,0.9957489333630352
18000,-296342.7382835336,62343.632191032855,-233999.10609250073,309.96492754476145,0.9957489333630352
18100,-296517.01424147,62591.65250930155,-233925.36173216847,311.19805428569657,0.9957489333630352
18200,-296465.52693873364,62258.11063517677,-234207.41630355688,309.53972481061186,0.9957489333630352
18300,-296589.03352349345,62767.11597064929,-233821.91755284416,312.07043719269103,0.9957489333630352
18400,-296324.08685943764,62534.60749536322,-233789.47936407442,310.9144334411811,0.9957489333630352
18500,-296709.6402259618,62653.281486722524,-234056.35873923928,311.5044660369788,0.9957489333630352
18600,-296073.4382445598,61865.9562635913,-234207.4819809685,307.58998115431694,0.9957489333630352
18700,-296354.3151982678,62421.683694890235,-233932.63150337758,310.3529900924132,0.9957489333630352
18800,-295972.2782389079,61867.6517995405,-234104.62643936742,307.5984111520436,0.9957489333630352
18900,-296115.86286037415,62235.48873617058,-233880.37412420358,309.4272514907242,0.9957489333630352
19000,-295358.07939371094,61360.75265310961,-233997.32674060133,305.07817048472884,0.9957489333630352
19100,-296042.4279355933,62510.924280834384,-233531.5036547589,310.7966833900939,0.9957489333630352
19200,-295563.32866979064,62160.49319361715,-233402.8354761735,309.0543828095649,0.9957489333630352
19300,-295435.94205185166,62208.43052322004,-233227.5115286316,309.29272135954733,0.9957489333630352
