#"Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Density (g/mL)"
12300,-114316.86052896769,23090.74906395556,-91226.11146501213,308.19836627748276,1.018537270733841
12400,-114396.24688790215,23164.923112415563,-91231.32377548658,309.18838702095206,1.018537270733841
12500,-114374.77288570756,23141.139623086434,-91233.63326262112,308.8709424661949,1.018537270733841
12600,-114520.09873048996,23546.186915125116,-90973.91181536485,314.2772163521429,1.018537270733841
12700,-113939.53144779883,22927.90801639062,-91011.62343140821,306.0248835254325,1.018537270733841
12800,-114291.51585857593,23428.40826844261,-90863.10759013332,312.70519344420774,1.018537270733841
12900,-114048.70269360073,23070.689240516163,-90978.01345308457,307.9306224812675,1.018537270733841
13000,-114399.40768410068,23323.980410371965,-91075.42727372871,311.3113670610927,1.018537270733841
13100,-114495.58981373871,23174.180629593553,-91321.40918414516,309.31194956377556,1.018537270733841
13200,-114352.08882289135,22950.204339888413,-91401.88448300294,306.3224784824857,1.018537270733841
13300,-114433.03908993484,23095.211483060964,-91337.82760687388,308.25792737158685,1.018537270733841
13400,-114210.26952944312,22991.358712835703,-91218.91081660741,306.8717768388274,1.018537270733841
13500,-113975.55693128891,23116.324254380423,-90859.23267690849,308.5397251430764,1.018537270733841
13600,-113828.76768387761,23185.39211743709,-90643.37556644052,309.4615922725222,1.018537270733841
13700,-114027.27761016518,23479.43338635331,-90547.84422381187,313.38623925764745,1.018537270733841
13800,-113905.4202617238,23431.99993350648,-90473.42032821733,312.75313235263525,1.018537270733841
13900,-114055.31957158516,23382.521202720352,-90672.79836886481,312.0927265792439,1.018537270733841
14000,-114124.44917994429,23658.735809145437,-90465.71337079885,315.7794363610012,1.018537270733841
14100,-113755.7574990791,23292.440432745032,-90463.31706633407,310.89039459501436,1.018537270733841
14200,-114227.60849809216,23507.773959306767,-90719.83453878539,313.76450841900856,1.018537270733841
14300,-114209.19616711943,23283.534212331753,-90925.66195478768,310.7715209034993,1.018537270733841
14400,-114110.86278666917,23295.208265486173,-90815.654521183,310.9273375944202,1.018537270733841
14500,-114345.04202722886,23356.900478342082,-90988.14154888678,311.75075995986924,1.018537270733841
14600,-114311.49334807938,23431.248487793317,-90880.24486028607,312.7431026069348,1.018537270733841
14700,-114108.7377967445,23232.68314025004,-90876.05465649447,310.092798126008,1.018537270733841
14800,-114283.42922087049,23263.17691747495,-91020.25230339554,310.4998066771952,1.018537270733841
14900,-114345.7853571804,23263.145738376086,-91082.63961880431,310.4993905214739,1.018537270733841
15000,-114090.96143669251,22972.245661091292,-91118.71577560122,306.61666985611805,1.018537270733841
15100,-114625.76944748487,23442.19544548914,-91183.57400199573,312.88921456147636,1.018537270733841
15200,-114171.62924155721,23115.765460096765,-91055.86378146044,308.5322667672207,1.018537270733841
15300,-114248.65686976508,23036.269102224847,-91212.38776754023,307.4712077451303,1.018537270733841
15400,-114495.98120475712,23408.08627731353,-91087.89492744359,312.43395042614276,1.018537270733841
15500,-114207.54897982033,23040.680780337192,-91166.86819948314,307.5300915857108,1.018537270733841
15600,-114038.86691114435,23001.45629585907,-91037.41061528528,307.006551963815,1.018537270733841
15700,-114194.92663365602,23101.120718556194,-91093.80591509983,308.3367995086723,1.018537270733841
15800,-113945.96076767123,22959.014927649405,-90986.94584002183,306.44007573956736,1.018537270733841
15900,-114024.67118484515,23286.033768754918,-90738.63741609023,310.8048831475696,1.018537270733841
16000,-113721.43394964596,23148.206598774297,-90573.22735087166,308.96526726940897,1.018537270733841
16100,-113830.92353559227,23188.44777412736,-90642.47576146491,309.502376934693,1.018537270733841
16200,-114108.83946400054,23392.61593403807,-90716.22352996247,312.2274636417581,1.018537270733841
16300,-113588.3046810535,22867.76965031016,-90720.53503074334,305.22220076597506,1.018537270733841
16400,-114098.21383235406,23448.809069019742,-90649.40476333431,312.9774883529268,1.018537270733841
16500,-114124.88089947042,23490.17607417499,-90634.70482529543,313.5296247678749,1.018537270733841
16600,-114149.31377847574,23514.27215756988,-90635.04162090586,313.8512415987288,1.018537270733841
16700,-113922.76442469645,23343.105414117686,-90579.65901057876,311.56663357034085,1.018537270733841
16800,-114218.39347687492,23412.22874138737,-90806.16473548755,312.4892409953826,1.018537270733841
16900,-114375.69421715185,23617.0786494583,-90758.61556769355,315.2234271763803,1.018537270733841
17000,-114123.13047133363,23280.719384585973,-90842.41108674766,310.7339506492733,1.018537270733841
17100,-114145.39448123088,23115.027477853466,-91030.36700337741,308.5224167220317,1.018537270733841
17200,-114288.98240053584,23266.04398115864,-91022.9384193772,310.53807413837103,1.018537270733841
17300,-114297.97626968392,23303.14628644334,-90994.82998324058,311.0332884704051,1.018537270733841
17400,-114432.72759278334,23521.77481749386,-90910.95277528948,313.951381595266,1.018537270733841
17500,-114079.19095231954,23294.09820428444,-90785.0927480351,310.9125213124583,1.018537270733841
17600,-114454.07818511117,23530.466096269316,-90923.61208884185,314.0673864036002,1.018537270733841
17700,-114233.08431706455,23268.729282535147,-90964.3550345294,310.57391556971265,1.018537270733841
17800,-114419.159018824,23372.73416037287,-91046.42485845112,311.96209632321245,1.018537270733841
17900,-114673.31536785665,23634.198028093902,-91039.11733976274,315.4519240741017,1.018537270733841
18000,-114097.66034926462,23102.69974761852,-90994.9606016461,308.35787522934146,1.018537270733841
18100,-114250.46831744665,23351.57261900371,-90898.89569844294,311.6796476049043,1.018537270733841
18200,-114196.05676981655,23410.414652228996,-90785.64211758756,312.46502786512235,1.018537270733841
18300,-114150.02962477214,23636.805547715805,-90513.22407705634,315.4867273316869,1.018537270733841
18400,-114016.27522264118,23430.626714362414,-90585.64850827877,312.7348036316583,1.018537270733841
18500,-114259.36772321025,23612.382949022634,-90646.98477418761,315.160752414345,1.018537270733841
18600,-114340.80543209473,23441.97569983499,-90898.82973225974,312.88628155781254,1.018537270733841
18700,-114208.50462040945,23225.84583472315,-90982.6587856863,310.0015387914888,1.018537270733841
18800,-114264.26400292985,23178.872200363316,-91085.39180256653,309.37456920606223,1.018537270733841
18900,-113979.61549731239,23044.610604343936,-90935.00489296846,307.5825439914462,1.018537270733841
19000,-114337.88176893798,23393.167071874952,-90944.71469706303,312.2348198249833,1.018537270733841
